,venue,year,keyword,count,rank,rgb_color,hex_color
92,NeurIPS.cc/2021/Conference,2021,Model-Based Reinforcement Learning,14,14,"[113, 15, 113]",710F71
93,NeurIPS.cc/2021/Conference,2021,Thompson Sampling,14,14,"[113, 15, 113]",710F71
94,NeurIPS.cc/2021/Conference,2021,Curriculum Learning,13,13,"[120, 24, 120]",781878
95,NeurIPS.cc/2021/Conference,2021,Learning,13,13,"[120, 24, 120]",781878
96,NeurIPS.cc/2021/Conference,2021,Semantic Segmentation,13,13,"[120, 24, 120]",781878
97,NeurIPS.cc/2021/Conference,2021,Uncertainty,13,13,"[120, 24, 120]",781878
98,NeurIPS.cc/2021/Conference,2021,Variational Autoencoder,13,13,"[120, 24, 120]",781878
99,NeurIPS.cc/2021/Conference,2021,Acceleration,12,12,"[127, 34, 127]",7F227F
100,NeurIPS.cc/2021/Conference,2021,Explainable Ai,12,12,"[127, 34, 127]",7F227F
101,NeurIPS.cc/2021/Conference,2021,Image Generation,12,12,"[127, 34, 127]",7F227F
102,NeurIPS.cc/2021/Conference,2021,Multi-Task Learning,12,12,"[127, 34, 127]",7F227F
103,NeurIPS.cc/2021/Conference,2021,Uncertainty Estimation,12,12,"[127, 34, 127]",7F227F
104,NeurIPS.cc/2021/Conference,2021,Causal Discovery,11,11,"[135, 44, 135]",872C87
105,NeurIPS.cc/2021/Conference,2021,Energy-Based Model,11,11,"[135, 44, 135]",872C87
106,NeurIPS.cc/2021/Conference,2021,Gnn,11,11,"[135, 44, 135]",872C87
107,NeurIPS.cc/2021/Conference,2021,Meta Learning,11,11,"[135, 44, 135]",872C87
108,NeurIPS.cc/2021/Conference,2021,Model Compression,11,11,"[135, 44, 135]",872C87
109,NeurIPS.cc/2021/Conference,2021,Nonconvex Optimization,11,11,"[135, 44, 135]",872C87
110,NeurIPS.cc/2021/Conference,2021,Point Clouds,11,11,"[135, 44, 135]",872C87
111,NeurIPS.cc/2021/Conference,2021,Self-Attention,11,11,"[135, 44, 135]",872C87
112,NeurIPS.cc/2021/Conference,2021,Structure Learning,11,11,"[135, 44, 135]",872C87
113,NeurIPS.cc/2021/Conference,2021,Time Series,11,11,"[135, 44, 135]",872C87
